from_id,to_id,distance_km,is_bidirectional
0,10,58.85,True
0,11,54.48,True
0,12,44.96,True
0,13,129.31,True
0,20,57.33,True
0,24,116.24,True
1,5,161.32,True
1,7,193.14,True
1,9,176.82,True
1,15,104.37,True
2,5,159.87,True
2,6,169.42,True
2,15,168.53,True
2,25,24.19,True
2,26,23.47,True
3,4,145.38,True
3,7,85.66,True
3,9,188.16,True
3,14,18.27,True
3,16,27.67,True
3,17,56.89,True
3,21,131.76,True
3,23,10.74,True
4,7,154.73,True
4,9,48.54,True
4,14,154.94,True
4,16,163.26,True
4,17,189.43,True
4,23,153.23,True
5,15,78.05,True
5,25,160.17,True
5,26,169.63,True
6,7,148.28,True
6,15,167.26,True
6,17,176.49,True
6,21,189.95,True
6,24,114.6,True
6,25,145.23,True
6,26,148.31,True
7,9,180.41,True
7,14,103.19,True
7,16,111.24,True
7,17,70.19,True
7,21,146.55,True
7,23,80.15,True
8,17,176.66,True
8,21,94.44,True
8,24,150.05,True
9,14,199.56,True
9,23,194.89,True
10,11,32.04,True
10,12,13.98,True
10,13,86.19,True
10,20,31.24,True
10,22,159.25,True
10,24,172.0,True
11,12,27.89,True
11,13,117.78,True
11,20,59.06,True
11,22,156.61,True
11,24,153.87,True
12,13,95.94,True
12,20,31.38,True
12,22,170.17,True
12,24,158.22,True
13,20,72.04,True
13,22,180.02,True
14,16,9.87,True
14,17,64.73,True
14,21,129.88,True
14,23,23.6,True
15,25,157.45,True
15,26,167.48,True
16,17,67.31,True
16,21,126.21,True
16,23,31.08,True
17,21,85.23,True
17,23,46.15,True
19,22,99.47,True
20,22,185.03,True
20,24,173.16,True
21,23,122.18,True
21,24,182.19,True
24,25,192.9,True
24,26,189.61,True
25,26,10.1,True
