City,State,Latitude,Longitude,node_id
Chicago,Illinois,41.8755616,-87.6244212,0
Columbus,Ohio,39.9622601,-83.0007065,1
Indianapolis,Indiana,39.7683331,-86.1583502,2
Detroit,Michigan,42.3315509,-83.0466403,3
Cleveland,Ohio,41.4996574,-81.6936772,4
Cincinnati,Ohio,39.1014537,-84.5124602,5
Fort Wayne,Indiana,41.0799898,-85.1386015,6
Toledo,Ohio,41.6529143,-83.5378173,7
Grand Rapids,Michigan,42.9632405,-85.6678639,8
Akron,Ohio,41.083064,-81.518485,9
Aurora,Illinois,41.7571701,-88.3147539,10
Joliet,Illinois,41.5263603,-88.0840212,11
Naperville,Illinois,41.7728699,-88.1479278,12
Rockford,Illinois,42.2713945,-89.093966,13
Warren,Michigan,42.4932575,-83.0062746,14
Dayton,Ohio,39.7589478,-84.1916069,15
Sterling Heights,Michigan,42.5803122,-83.0302033,16
Ann Arbor,Michigan,42.2681569,-83.7312291,17
Springfield,Illinois,39.7990175,-89.6439575,19
Elgin,Illinois,42.03726,-88.2810994,20
Lansing,Michigan,42.7337712,-84.5553805,21
Peoria,Illinois,40.6938609,-89.5891008,22
Dearborn,Michigan,42.3222599,-83.1763145,23
South Bend,Indiana,41.6833813,-86.2500066,24
Fishers,Indiana,39.9555928,-86.0138729,25
Carmel,Indiana,39.9784186,-86.1283681,26
